MML0025,"Name representation code（表記コード，HL7table4000準拠）"
I ,"Ideographic (i.e., Kanji)"
A,"Alphabetic (i.e., Default or single-byte)"
P,"Phonetic((i.e., ASCII, Katakana, Hiragana, etc.)"
